animal_zodiac,kr,fortune,peak_time,peak_tip,low_time,low_tip
rat,쥐띠,"처음엔 구경만 하려 했는데 탭이 열두 개가 됐고, 어느새 장바구니에 담겨 있습니다. 쥐띠가 가장 많이 하는 패턴입니다. 오늘은 담기만 하고 창 닫는 걸 목표로 하시기 바랍니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 주변 대화에서 흘려듣지 마시기 바랍니다. 쥐띠는 정보를 먼저 캐치하는 타입인데, 별것 아닌 것 같은 말 한마디가 이번 주 결정에 영향을 줄 수 있습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,머릿속에서 계획이 열 개가 돌아가고 있습니다. 그 중에 오늘 실제로 끝낼 수 있는 건 두 개예요. 나머지는 내일 목록으로 옮기세요. 줄일수록 오늘이 잘 돌아갑니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 판단이 빠르게 나오는 날입니다. 근데 돈이 크게 엮인 결정은 오늘 하루만 더 두고 보시기 바랍니다. 직감이 맞아도 타이밍이 틀릴 수 있습니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"자기 전에 내일 할 것 딱 세 개만 적어두고 자세요. 쥐띠는 머릿속이 안 비워지면 잠이 잘 안 오는 타입인데, 종이에 쓰는 것만으로 머리가 가벼워져요.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 누군가에게 아이디어를 먼저 말했다가 내 것이 안 될 수 있습니다. 쥐띠는 말이 빠른 타입인데, 실행 전에 공유하는 걸 오늘은 잠깐 참아보시기 바랍니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,혼자 밥 먹는 점심이 오늘 가장 좋은 충전입니다. 쥐띠는 자극이 많은 하루를 보내는 타입이라 한 끼 정도는 조용히 먹는 게 오후를 살려줘요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 대화에서 내 말이 너무 많았다면, 상대가 하려던 말이 있었는지 한 번 생각해보시기 바랍니다. 쥐띠는 말이 빠른 타입이라 가끔 듣는 쪽을 놓쳐요.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,카페나 약간 소음이 있는 곳이 오늘 집중력을 올려줘요. 쥐띠는 완전한 정적보다 적당한 자극이 있는 환경에서 머리가 잘 돌아가는 타입입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 작은 목표 하나를 완료하는 것만으로 에너지가 올라와요. 쥐띠는 완료 표시를 할 때 동기가 붙는 타입입니다. 쉬운 것 하나부터 먼저 체크해가세요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
