category,text,extra
love,오늘은 예상 못 한 대화 속에서 설렘이 시작될 수 있어요. 작은 인연도 소중히 여겨보세요.,오늘은 먼저 말을 건네보는 것이 좋습니다.
love,감정의 속도를 조금 늦추면 더 좋은 흐름이 만들어질 거예요. 자신의 마음을 먼저 들여다보세요.,오늘은 감사 한 마디가 큰 힘이 됩니다.
love,오늘은 솔직한 마음이 좋은 인연을 불러올 수 있어요. 용기 있는 한걸음을 내디뎌 보세요.,오늘의 키워드는 진심입니다.
money,작은 기회처럼 보였던 일이 생각보다 큰 흐름으로 이어질 수 있어요. 눈을 크게 뜨고 주변을 살펴보세요.,오늘은 충동구매를 조심하세요.
money,오늘은 지출보다 절약이 빛을 발하는 날이에요. 작은 절약이 큰 여유를 만들어 줍니다.,오늘의 행운 아이템은 지갑입니다.
money,예상치 못한 곳에서 재물의 흐름이 열릴 수 있어요. 새로운 기회에 열린 마음을 가져보세요.,오늘은 주변의 제안을 귀 기울여 들어보세요.
mind,오늘은 혼자만의 시간이 에너지를 회복시키는 열쇠가 돼요. 내면의 목소리에 귀 기울여 보세요.,오늘은 산책이 최고의 처방입니다.
mind,복잡한 생각을 내려놓을수록 오늘 하루가 가벼워질 거예요. 단순하게 지금 이 순간에 집중해 보세요.,오늘의 키워드는 비움입니다.
mind,오늘 당신의 직관은 매우 선명해요. 머리보다 마음이 이끄는 대로 따라가 보세요.,오늘은 글쓰기나 그림이 마음을 정리해 줍니다.
luck,예상치 못한 타이밍에 행운의 흐름이 들어올 가능성이 커요. 긍정적인 마음으로 하루를 맞이해 보세요.,오늘의 행운 컬러는 보라색입니다.
luck,오늘은 작은 것에서 큰 행운을 발견하는 날이에요. 지나치기 쉬운 순간을 소중히 여겨보세요.,오늘의 행운 숫자는 7입니다.
luck,오늘 당신 주변의 에너지가 밝게 빛나고 있어요. 그 흐름을 타고 하루를 즐겨보세요.,오늘은 새로운 시도가 행운을 불러옵니다.
