word,hint
가을바람,가을에 부는 시원한 바람
강아지풀,강아지 꼬리를 닮은 풀
거북선배,이순신 장군의 철갑선
고구마밭,고구마를 기르는 밭
나비효과,작은 변화가 큰 결과를 만드는 것
냉면그릇,냉면을 담는 그릇
달나라길,달을 향해 가는 길
동백나무,겨울에 꽃피는 나무
들꽃향기,들에 핀 꽃의 향기
떡볶이집,떡볶이를 파는 가게
마늘냄새,마늘에서 나는 독특한 냄새
모래시계,모래로 시간을 재는 도구
민들레꽃,봄에 피는 노란 들꽃
바람개비,바람에 돌아가는 장난감
반딧불이,밤에 빛을 내는 곤충
배추김치,배추로 담근 김치
봄나들이,봄에 야외로 나가는 것
붕어빵집,붕어빵을 파는 가게
사과나무,사과가 열리는 나무
사탕수수,설탕 원료가 되는 식물
수영장물,수영장에 담긴 물
수수께끼,알아맞히는 놀이
아침이슬,아침에 맺히는 이슬
아파트숲,아파트가 빽빽한 도시 풍경
여름밤길,여름 밤의 길
오두막집,작고 소박한 집
오리나무,강가에 자라는 나무
진달래꽃,봄에 피는 분홍 꽃
참나무숲,도토리가 열리는 숲
청보리밭,파랗게 자란 보리밭
파도소리,파도가 치는 소리
파란하늘,맑고 파란 하늘
팽이버섯,팽이 모양의 하얀 버섯
포도밭길,포도밭 사이 길
해바라기,해를 향해 도는 노란 꽃
황금들판,황금빛 곡식이 익은 들판
기차여행,기차를 타고 떠나는 여행
나무늘보,느릿느릿 나무에 매달린 동물
다람쥐굴,다람쥐가 사는 굴
도마뱀알,도마뱀이 낳은 알
도서관장,도서관을 관리하는 사람
무지개빛,일곱 색깔의 빛
별자리표,별자리를 나타낸 표
소나무숲,소나무가 우거진 숲
연날리기,연을 하늘에 띄우는 놀이
풍차마을,풍차가 있는 마을
화분받침,화분 아래 받치는 것
기억상자,추억을 담아두는 상자
개나리꽃,봄에 피는 노란 꽃
나팔소리,나팔에서 나는 소리
달맞이꽃,달빛에 피는 흰 꽃
도토리묵,도토리로 만든 묵
동백꽃잎,동백꽃의 붉은 잎
메뚜기밥,메뚜기가 먹는 풀
목련꽃잎,목련의 하얀 꽃잎
무지개색,무지개의 여러 색
미나리국,미나리로 끓인 국
반딧불빛,반딧불이가 내는 빛
벌꿀향기,벌꿀에서 나는 달콤한 향
복숭아빛,복숭아처럼 붉고 연한 빛
사마귀알,사마귀가 낳은 알 덩어리
산토끼귀,산토끼의 긴 귀
새벽이슬,새벽에 맺히는 이슬
소나무향,소나무에서 나는 향
솔바람향,솔숲을 지나는 바람 향
아지랑이,봄날 아른거리는 열기
은행나무,가을에 노란 단풍이 드는 나무
잠자리날,잠자리가 나는 날개
진달래향,진달래꽃의 향기
참나무잎,참나무의 넓적한 잎
하늘타리,하늘로 오르는 덩굴식물
함박꽃잎,함박꽃의 큰 꽃잎
호박넝쿨,호박이 자라는 덩굴
황금벌판,황금빛으로 물든 벌판
국화향기,국화꽃의 청량한 향기
나뭇잎향,나뭇잎에서 나는 향
눈송이빛,눈송이의 하얀 빛
도라지꽃,보라색 도라지 꽃
민들레씨,민들레의 씨앗 솜털
봉숭아물,봉숭아로 물들인 손톱
산딸기빛,산딸기의 붉은 빛
수레바퀴,수레에 달린 둥근 바퀴
애호박잎,애호박의 넓적한 잎
오동나무,큰 잎이 달린 나무
왕벚나무,봄에 흰 꽃이 피는 나무
조롱박꽃,조롱박에 피는 흰 꽃
참새소리,참새가 우는 소리
토란잎향,토란 잎에서 나는 향
