id,type,mood,season,time_of_day,sentence
1,entrance,맑음,겨울,새벽,"아직 사람들이 들어오기 전, 서재는 조용히 숨을 고르고 있었습니다. 불빛 하나가 서가 끝에서 은은하게 켜져 있었습니다."
2,entrance,흐림,무관,새벽,새벽의 서재는 달랐습니다. 낮 동안의 소란이 가라앉고 나서야 비로소 보이는 것들이 있었습니다.
3,entrance,맑음,무관,새벽,창밖이 아직 어두운 시간이었습니다. 서재 문을 밀자 오래된 종이 냄새가 먼저 반겼습니다.
4,entrance,맑음,무관,새벽,"이른 새벽, 서재의 불을 켜는 순간 먼지 입자들이 빛 속에서 천천히 흘렀습니다."
5,entrance,흐림,무관,새벽,아무도 없는 새벽 서재에서 책들은 저마다의 자리를 조용히 지키고 있었습니다.
6,entrance,맑음,봄,아침,아침 햇살이 서가 위로 비스듬히 내려앉았습니다. 책등들이 빛을 받아 금빛으로 물들었습니다.
7,entrance,맑음,여름,아침,문을 열자 따뜻한 빛이 먼저 들어왔습니다. 오늘의 서재는 유난히 환하게 느껴졌습니다.
8,entrance,맑음,무관,아침,아침 공기와 함께 서재 안으로 들어섰습니다. 창가 쪽 서가에서 시선이 멈췄습니다.
9,entrance,맑음,무관,아침,이른 아침 커피 향이 서재 안에 가득했습니다. 오늘은 어떤 문장을 만나게 될지 기대가 앞섰습니다.
10,entrance,맑음,무관,아침,서재가 문을 여는 시간이었습니다. 아직 자리가 비어 있는 조용한 아침이었습니다.
11,entrance,맑음,봄,아침,꽃 냄새가 살짝 섞인 바람이 문 틈으로 들어왔습니다. 서재 안의 봄은 책 속에도 있었습니다.
12,entrance,맑음,무관,정오,정오의 햇살이 유리창을 통해 서가 사이로 길게 뻗어 있었습니다. 먼지 한 점 없이 정돈된 서재였습니다.
13,entrance,흐림,무관,정오,한낮의 서재는 묘하게 고요했습니다. 바깥의 소음이 두꺼운 벽 너머로 사라졌습니다.
14,entrance,맑음,무관,정오,점심시간의 서재를 찾는 사람은 많지 않았습니다. 그래서 더 오래 머물고 싶은 공간이 되었습니다.
15,entrance,맑음,무관,정오,창으로 들어온 햇빛이 바닥 위에 네모난 모양을 만들어두었습니다. 그 옆 서가 앞에 섰습니다.
16,entrance,맑음,여름,정오,한낮임에도 서재 안은 서늘했습니다. 오래된 책들이 온도를 낮춰주는 것 같았습니다.
17,entrance,맑음,가을,오후,오후의 빛이 기울어지기 시작할 무렵이었습니다. 서재 안쪽이 조금씩 따뜻한 색으로 물들었습니다.
18,entrance,맑음,가을,오후,해가 서쪽으로 기울면서 서가의 그림자가 길어졌습니다. 그 사이를 천천히 걸었습니다.
19,entrance,흐림,무관,오후,오후 늦게 찾아온 서재는 하루 중 가장 차분한 시간이었습니다. 발걸음이 저절로 느려졌습니다.
20,entrance,맑음,가을,오후,창밖으로 낙엽 하나가 지나갔습니다. 서재 안에서 바라보는 바깥은 언제나 다른 세계 같았습니다.
21,entrance,맑음,무관,오후,오후의 서재에는 사람들이 하나둘 자리를 잡고 있었습니다. 저마다 자신의 시간 속에 있었습니다.
22,entrance,맑음,여름,오후,뜨거운 햇살을 피해 들어온 서재였습니다. 시원한 공기와 책 냄새가 한꺼번에 반겼습니다.
23,entrance,맑음,겨울,오후,차가운 공기를 뚫고 들어온 서재였습니다. 문이 닫히자 바람 소리가 사라지고 고요함이 찾아왔습니다.
24,entrance,맑음,무관,저녁,저녁이 되자 서재의 조명이 더 따뜻하게 느껴졌습니다. 노란빛이 책등 위에 부드럽게 내려앉았습니다.
25,entrance,흐림,무관,저녁,해가 진 뒤의 서재는 낮과는 다른 분위기였습니다. 더 조용하고 더 깊은 곳으로 들어가는 느낌이었습니다.
26,entrance,맑음,무관,저녁,저녁 서재를 찾는 사람들은 무언가를 마무리하러 오는 것 같았습니다. 그 분위기 속에 섞였습니다.
27,entrance,맑음,무관,저녁,"창밖이 어둑해지는 시간, 서재 안의 불빛이 더욱 선명하게 켜졌습니다."
28,entrance,맑음,무관,저녁,하루가 저물어가는 서재에서 책 한 권을 꺼내 들었습니다. 오늘의 마지막 문장을 찾기 위해서였습니다.
29,entrance,맑음,무관,밤,밤의 서재는 낮보다 조용했지만 그 대신 더 많은 것을 말해주는 것 같았습니다.
30,entrance,맑음,겨울,밤,밤이 깊어질수록 서재의 불빛은 더 따뜻해졌습니다. 책들이 빛 속에서 조용히 기다리고 있었습니다.
31,entrance,흐림,무관,밤,"늦은 밤, 서재에는 몇 사람만이 남아 있었습니다. 그 고요함 속에서 천천히 서가를 따라 걸었습니다."
32,entrance,맑음,무관,밤,자정에 가까운 시간이었습니다. 서재는 문을 닫기 직전의 고요함 속에 있었습니다.
33,entrance,맑음,무관,밤,밤 서재의 냄새는 달랐습니다. 하루 동안 손을 거쳐간 책들의 온기가 공기 중에 남아 있었습니다.
34,entrance,비,무관,무관,빗소리가 창문을 두드렸습니다. 서재 안은 그 소리 덕분에 오히려 더 고요하게 느껴졌습니다.
35,entrance,비,무관,무관,비가 내리는 날이었습니다. 우산을 접으며 서재 문을 열었을 때 젖은 공기와 책 냄새가 섞였습니다.
36,entrance,비,무관,오후,창밖에 비가 내리고 있었습니다. 유리 위를 흘러내리는 물줄기를 바라보며 서가 앞에 섰습니다.
37,entrance,비,무관,무관,빗속에서 찾아온 서재는 유난히 아늑했습니다. 젖은 신발이 바닥을 살짝 적셨지만 개의치 않았습니다.
38,entrance,비,무관,오후,가는 비가 내리는 오후였습니다. 서재 안은 잔잔했고 발걸음 소리도 거의 들리지 않았습니다.
39,entrance,흐림,무관,무관,흐린 날의 서재는 더 아늑했습니다. 낮은 조명 아래 책들이 제각각의 빛을 내고 있었습니다.
40,entrance,안개,무관,아침,안개가 낀 아침이었습니다. 서재 창밖의 풍경이 희뿌옇게 지워진 자리에 책들이 더 선명하게 서 있었습니다.
41,entrance,흐림,무관,무관,흐린 하늘 아래 찾아온 서재였습니다. 날씨와 달리 서재 안은 따뜻한 빛으로 가득했습니다.
42,entrance,눈,겨울,무관,눈이 내리는 날 서재를 찾았습니다. 창밖의 흰빛과 서재 안의 노란빛이 어우러졌습니다.
43,entrance,눈,겨울,무관,눈이 조용히 쌓이는 날이었습니다. 서재 문을 열자 발소리조차 흡수되는 느낌이었습니다.
44,entrance,맑음,봄,아침,봄 햇살이 서재 유리창을 넘어 들어왔습니다. 책등들이 새로 단장한 것처럼 선명하게 보였습니다.
45,entrance,맑음,여름,오후,여름 오후의 서재는 바깥과 완전히 다른 세계였습니다. 시원한 공기 속에서 천천히 걸었습니다.
46,entrance,맑음,가을,오후,가을의 서재는 조금 더 깊은 빛을 띠고 있었습니다. 책들도 그 색을 닮은 것 같았습니다.
47,entrance,맑음,가을,무관,낙엽 냄새가 은은하게 섞인 가을 서재였습니다. 책장을 넘기는 소리가 유난히 또렷하게 들렸습니다.
48,entrance,맑음,겨울,무관,겨울 서재의 공기는 차고 맑았습니다. 난방 온기가 발 아래에서 올라오는 게 느껴졌습니다.
49,entrance,흐림,겨울,저녁,겨울 저녁의 서재였습니다. 문을 여는 순간 따뜻한 공기가 차가운 뺨을 감쌌습니다.
50,entrance,맑음,봄,오후,봄 오후의 서재는 창문을 통해 들어오는 바람으로 가득했습니다. 페이지가 살짝 넘어가는 소리가 났습니다.
51,book_found,무관,무관,무관,가장 안쪽 서가 앞에서 발걸음이 멈췄습니다. 오늘 이 책이 기다리고 있었던 것 같았습니다.
52,book_found,무관,무관,무관,평소 지나치던 코너 앞에서 문득 걸음을 멈추게 되었습니다. 이달을 위한 책이 거기에 있었습니다.
53,book_found,무관,무관,무관,서가 사이를 천천히 걷던 중 한 권의 책이 조용히 앞으로 나와 있는 것을 발견했습니다.
54,book_found,무관,무관,무관,책등들 사이에서 유독 한 권이 눈에 밟혔습니다. 꺼내 들자 이달의 이야기가 펼쳐졌습니다.
55,book_found,무관,무관,무관,서가 끝에 혼자 놓여 있는 책 한 권이 있었습니다. 표지를 펼치자 이달의 흐름이 담겨 있었습니다.
56,book_found,무관,무관,무관,손이 먼저 움직였습니다. 이유는 몰랐지만 그 책이 이달을 기다리고 있었던 것 같았습니다.
57,book_found,무관,무관,무관,조용히 서가를 따라 걷다가 멈췄습니다. 이달에 꼭 맞는 책이 그 자리에 있었습니다.
58,book_found,무관,무관,무관,빛이 유독 한 곳으로 모여들었습니다. 그 자리에 이달을 위한 책이 놓여 있었습니다.
59,book_found,무관,무관,무관,누군가 미리 꺼내두기라도 한 것처럼 책 한 권이 살짝 앞으로 나와 있었습니다.
60,book_found,무관,무관,무관,"서가 세 번째 칸, 손이 닿는 자리에 책 한 권이 있었습니다. 표지도 없이 기다리고 있었습니다."
61,book_found,무관,무관,무관,발걸음이 저절로 멈추는 자리가 있었습니다. 이달의 이야기가 거기에 있었습니다.
62,book_found,무관,무관,무관,눈이 가는 곳에 항상 이유가 있었습니다. 이달에 건네야 할 책이 그곳에 있었습니다.
63,book_found,무관,무관,무관,서가를 한 바퀴 돌고 돌아온 자리에 같은 책이 있었습니다. 두 번 눈에 띈다면 읽어야 한다는 뜻입니다.
64,book_found,무관,무관,무관,오늘의 책은 멀리 있지 않았습니다. 입구에서 가장 가까운 서가에 이달을 기다리고 있었습니다.
65,book_found,무관,무관,무관,이달의 책은 화려하지 않았습니다. 하지만 펼치는 순간 이달의 이야기가 그 안에 있었습니다.
66,book_found,무관,무관,무관,손을 뻗기 전에 이미 알았습니다. 이 책이 이달에 필요한 것을 담고 있다는 것을.
67,book_found,무관,무관,무관,조용한 서가 끝에서 한 권이 기다리고 있었습니다. 이달을 담은 책이었습니다.
68,book_found,무관,무관,무관,서재 직원이 따로 꺼내두었을 것 같은 자리에 책이 한 권 있었습니다. 이달을 위한 것이었습니다.
69,book_found,무관,무관,무관,책장을 넘기기도 전에 제목이 먼저 말을 걸었습니다. 이달에 건네는 이야기였습니다.
70,book_found,무관,무관,무관,"가장 마지막 서가, 가장 구석진 자리에 책 한 권이 있었습니다. 기다린 시간이 느껴지는 책이었습니다."
71,checkout,무관,무관,무관,책을 품에 안고 계산대 쪽으로 천천히 걸어갔습니다. 이달의 흐름이 그 안에 있었습니다.
72,checkout,무관,무관,무관,표지를 한 번 더 보고 나서 계산대로 향했습니다. 이 책이 이달을 함께할 것임을 알았습니다.
73,checkout,무관,무관,무관,책을 들고 서재를 한 바퀴 더 걸었습니다. 이달의 방향이 조금씩 선명해지는 느낌이었습니다.
74,checkout,무관,무관,무관,직원에게 책을 건네자 조용히 고개를 끄덕였습니다. 이달을 위한 좋은 선택이라는 뜻 같았습니다.
75,checkout,무관,무관,무관,계산을 마치고 받아 든 책은 예상보다 묵직했습니다. 이달의 내용이 그만큼 담겨 있었습니다.
76,checkout,무관,무관,무관,이달의 책을 손에 쥐고 창가 쪽 자리에 잠시 앉았습니다. 첫 페이지를 펼치기 전의 시간이었습니다.
77,checkout,무관,무관,무관,책을 받아 들고 나서야 이달이 어떤 달인지 조금씩 보이기 시작했습니다.
78,checkout,무관,무관,무관,계산대를 지나 출구 쪽으로 걸으며 책의 첫 문장을 떠올렸습니다. 이달이 시작되는 느낌이었습니다.
79,checkout,무관,무관,무관,이달의 책은 생각보다 빨리 결정되었습니다. 손이 먼저 알고 있었던 것 같습니다.
80,checkout,무관,무관,무관,책을 덮고 일어섰을 때 이달의 방향이 하나 정해진 것 같았습니다.
