zodiac,type,fortune,contact_time,contact_reason
양자리,총운,"시작은 누구보다 빠른데, 중간쯤에서 갑자기 다른 게 더 재밌어 보이는 거 알고 있습니까? 그게 의지가 없는 게 아닙니다. 뇌가 너무 빨리 달리다가 몸이 못 따라오는 것입니다. 오전에 방향 하나만 정확히 정해두고 시작하시기 바랍니다. 그 하나가 오늘 전부입니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,"오늘 에너지가 올라오는 날입니다. 이럴 때 양자리는 무언가 크게 시작하고 싶어지는데, 욕심 부리지 말고 정확히 하나만 끝내는 날로 쓰시기 바랍니다. 하나를 완성하는 게 세 개를 시작하는 것보다 오늘은 훨씬 강합니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 흐름이 상당히 좋은 날입니다. 그런데 양자리는 좋은 날일수록 너무 많이 벌이다가 저녁에 아무것도 안 된 느낌으로 끝나는 패턴이 있습니다. 오늘은 그 패턴 의식적으로 끊어보시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,무언가 결정해야 하는 일이 있다면 오늘 오전 안에 하시기 바랍니다. 양자리는 오전에 판단이 가장 선명합니다. 오후로 넘기면 다른 생각이 끼어들어서 오히려 복잡해지습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 누군가 느리다는 생각이 들 수 있습니다. 그 사람이 틀린 게 아니라 당신이 빠른 것입니다. 그 간극을 이해하는 게 오늘의 숙제입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,에너지가 넘쳐서 여러 개를 시작하고 싶은 날입니다. 그런데 오늘은 한 가지에만 그 에너지를 쏟아보시기 바랍니다. 집중된 양자리는 아무도 못 따라가습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 직감이 특히 잘 맞는 날입니다. 복잡하게 분석하지 말고 첫 번째로 떠오른 답을 믿어보시기 바랍니다. 양자리의 첫 감각은 대개 맞습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,무언가 멈춰있는 것들이 오늘 갑자기 풀릴 수 있습니다. 기다리던 연락이나 결과가 들어올 수 있는 날이니 핸드폰 잘 보시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 하루가 생각보다 빠르게 지나갈 것입니다. 그 속도 안에서 한 가지만 제대로 남기시기 바랍니다. 빠른 건 장점인데 흔적을 남기는 게 오늘의 포인트입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 작은 성취 하나가 하루 전체를 바꿀 수 있습니다. 거창한 계획보다 지금 당장 할 수 있는 작은 것 하나를 끝내시기 바랍니다. 양자리에게 완성의 기쁨은 다음 에너지를 만들어내요.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,조금 지치는 흐름의 날입니다. 에너지가 100이 아니어도 괜찮습니다. 오늘은 회복하면서 내일을 위해 충전하는 날로 써도 됩니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 누군가와 경쟁하고 싶은 마음이 올라올 수 있습니다. 그런데 오늘 진짜 경쟁자는 어제의 자신입니다. 그 기준으로 움직여보시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,생각이 많아지는 날입니다. 양자리답게 그냥 일단 해보시기 바랍니다. 생각보다 움직임이 답을 먼저 알려주는 타입입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,"오늘 흐름이 잔잔합니다. 양자리에게 잔잔한 날은 불편할 수 있는데, 이 시간에 그동안 미뤄온 것 하나 정리해두면 나중에 큰 힘이 됩니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 갑자기 새로운 아이디어나 방향이 떠오를 수 있습니다. 흘려보내지 말고 메모해두시기 바랍니다. 양자리의 즉흥적인 아이디어가 나중에 진짜가 되는 경우가 많습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,무언가 시작하기 좋은 날입니다. 계획을 완벽하게 세우는 것보다 일단 발을 내딛는 게 양자리에겐 훨씬 잘 맞습니다. 오늘이 그 타이밍입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 에너지가 방향을 못 찾고 있는 느낌이 들 수 있습니다. 그럴 때는 몸을 움직여보시기 바랍니다. 걷거나 무언가 손으로 하면 머리가 정리되는 타입입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,오늘 주변에서 뭔가를 부탁받을 수 있습니다. 양자리는 싫다고 말하는 게 어렵지 않은 타입이니까 오늘은 우선순위 잘 따져서 결정하시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,집중이 잘 되는 날입니다. 평소에 안 되던 것들이 오늘 유독 잘 될 수 있습니다. 이 흐름 놓치지 말고 중요한 것부터 처리하시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,총운,"오늘 작은 것에서 큰 힌트를 얻을 수 있습니다. 지나치는 말, 우연한 만남에 오늘 특히 안테나를 세워두시기 바랍니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,"오늘 누군가 느리게 움직이면 속에서 무언가 올라올 수 있습니다. 그 답답함, 양자리라면 다 알 것입니다. 그런데 오늘은 그 사람이 틀린 게 아니라 당신이 빠른 것입니다. 3초만 기다려보시기 바랍니다. 관계가 지켜지는 건 그 3초에서 결정되습니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,먼저 연락해도 되는 날입니다. 양자리는 먼저 다가가는 게 자연스러운 타입이습니다. 오늘은 그 본능을 믿어도 됩니다. 생각보다 잘 닿을 것입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,"오늘 감정이 솔직하게 올라오는 날입니다. 표현하고 싶다면 지금이 타이밍입니다. 단, 양자리 특유의 속도로 밀어붙이지 말고 상대 속도도 맞춰보시기 바랍니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,가까운 사람과 작은 오해가 생길 수 있습니다. 양자리는 빠르게 잘라내고 싶겠지만 오늘은 먼저 들어보는 게 더 빠른 해결책입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,연인이나 좋아하는 사람이 있다면 오늘 의외의 모습을 발견할 수 있습니다. 좋은 쪽이든 당황스러운 쪽이든 그게 그 사람입니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,오늘 혼자 있는 시간도 나쁘지 않습니다. 양자리는 관계에서도 에너지를 쓰는 타입이라 가끔 충전이 필요합니다. 오늘은 나를 위한 시간으로 써도 됩니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,오늘 누군가의 솔직한 한 마디가 마음에 걸릴 수 있습니다. 상처받기 전에 그 말이 사실인지 한 번 생각해보시기 바랍니다. 양자리는 피드백을 성장으로 바꾸는 힘이 있습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,설레는 느낌이 오는 날입니다. 그 감각을 즐기시기 바랍니다. 양자리는 감정이 올라올 때 행동하는 타입인데 오늘은 조금 음미해봐도 좋습니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,오랫동안 연락 못 했던 사람이 갑자기 생각난다면 그게 신호입니다. 짧게라도 먼저 건네보시기 바랍니다.,오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
양자리,애정운,"관계에서 무언가 답답한 게 있다면 오늘 말할 기회가 생길 수 있습니다. 단, 양자리 속도로 쏟아내지 말고 핵심 하나만 전달해보시기 바랍니다.",오전 9시~11시,양자리는 에너지가 오전에 올라오는 타입입니다. 먼저 연락하거나 받거나 모두 오전이 가장 자연스럽게 연결됩니다.
